date,person,miles
2023-05-13,Sarah Jackson,3.8
2024-01-07,Chris White,12.9
2023-01-04,Chris Thompson,15.5
2023-10-22,William Sanchez,10.9
2024-03-26,Laura Thomas,1.1
2024-02-19,Stephanie Hill,8.3
2023-02-16,Kevin Wilson,7.5
2023-12-16,Joseph Gonzalez,16.7
2024-03-07,Brian Gonzalez,6.5
2024-10-05,Karen Smith,2.5
2024-08-25,Mark Moore,1.2
2024-01-18,Robert Ramirez,3.9
2023-02-01,Betty Miller,9.1
2023-11-28,Matthew Rodriguez,2.7
2024-09-13,Christopher Perez,9.9
2024-07-12,William Torres,3.9
2023-05-30,Joseph Gonzalez,10.3
2024-09-04,Joseph White,11.1
2023-11-11,Chris Williams,2.0
2023-07-10,Robert Wilson,9.2
2024-07-29,Michael Jones,6.5
2023-11-26,Betty Lewis,6.4
2024-06-15,Mark Jones,8.3
2023-04-05,Karen Flores,2.0
2023-01-28,Paul Smith,8.9
2023-02-18,David Thomas,14.3
2023-10-16,Jessica Taylor,2.2
2023-01-01,Chris Hernandez,1.6
2024-09-29,Kevin Wilson,6.1
2023-11-25,Karen Moore,1.6
2023-02-18,William Wilson,3.5
2023-02-05,Ashley Ramirez,2.4
2024-03-17,Chris Hernandez,3.9
2023-07-18,Michael King,6.8
2023-06-16,Donna Flores,2.4
2023-09-24,Robert Ramirez,4.3
2024-04-13,Elizabeth Gonzalez,6.6
2023-05-24,Donna White,2.5
2024-02-17,Nancy Ramirez,18.2
2024-05-24,Matthew Robinson,8.6
2024-10-05,Linda Lopez,2.4
2023-05-29,Christopher Lopez,3.2
2023-01-21,Christopher Perez,11.2
2023-03-29,Paul Lopez,7.2
2023-01-05,Christopher Lopez,3.5
2024-01-09,Mark Martinez,4.7
2024-02-26,Christopher Jones,3.4
2023-08-27,Lisa Wilson,7.4
2024-04-10,Jennifer Garcia,2.0
2024-06-06,Stephanie Thompson,2.6
2023-09-05,Michael Jones,3.0
2024-08-10,William Sanchez,8.9
2024-04-22,Mark Scott,4.1
2024-08-26,Matthew Young,1.0
2024-06-16,Betty Smith,1.8
2024-07-11,Mike Wright,5.5
2023-08-19,Elizabeth Thompson,2.8
2024-03-31,Robert Thompson,9.2
2024-02-06,Thomas Hill,6.4
2024-09-02,Mark Moore,1.4
2024-03-28,John Smith,5.8
2023-09-10,Ashley Walker,10.5
2023-01-29,Kevin White,11.5
2023-01-17,John Allen,6.1
2024-01-29,Kevin Taylor,13.0
2024-08-18,John Smith,7.0
2024-03-17,Amy King,11.5
2024-06-14,William Taylor,7.2
2024-05-26,Charles Clark,7.3
2023-04-04,Stephanie Hill,16.8
2023-12-08,Amanda Robinson,5.0
2023-10-28,Amy Brown,8.1
2023-12-19,Mike Sanchez,2.4
2024-12-23,John Moore,4.4
2023-04-17,Jessica Wright,10.8
2023-10-19,Chris Thompson,11.8
2023-05-14,Maria Sanchez,9.9
2023-07-19,Betty Sanchez,3.4
2023-07-10,Emily Perez,8.8
2024-07-15,Mike Sanchez,2.7
2023-10-22,Laura Sanchez,4.2
2024-04-04,Elizabeth Wright,7.4
2023-03-11,Nancy Wilson,7.9
2023-05-14,David Robinson,13.9
2023-01-31,Joseph Hernandez,2.9
2024-04-11,Donna White,2.1
2023-04-14,Laura Johnson,0.5
2023-01-26,Paul Taylor,11.3
2024-03-20,Laura Thomas,0.8
2024-07-16,Robert Jones,14.5
2023-08-22,Mike King,0.9
2023-11-02,Nancy Harris,2.1
2023-02-18,Amanda Allen,9.0
2024-03-18,Chris Williams,2.3
2024-11-19,Robert Wilson,9.6
2024-02-22,Maria Jackson,2.2
2024-10-28,Mark Walker,19.4
2023-11-26,Linda Jones,7.0
2024-08-04,Ashley Davis,10.1
2024-06-08,Joshua Harris,18.2
2024-04-29,Ashley Walker,6.4
2024-05-16,Joseph Williams,3.8
2024-09-07,Betty Rodriguez,19.8
2023-09-01,Daniel Davis,9.8
2024-09-18,Jessica Thomas,10.7
2023-07-22,Christopher Thomas,9.3
2023-12-13,Elizabeth Wright,3.0
2024-07-13,Mark Nguyen,17.9
2023-12-12,Matthew Wright,9.4
2023-06-11,Joseph Williams,4.5
2023-09-11,John Nguyen,10.2
2024-06-29,Mark Anderson,4.9
2024-09-10,Ashley Ramirez,1.0
2023-05-16,Donna Young,11.9
2023-10-30,Christopher Lopez,3.1
2024-11-07,John Brown,8.4
2023-05-14,Amanda Scott,5.1
2024-03-20,Mark Martinez,3.8
2024-05-14,Emily Jones,9.5
2024-11-11,Joseph King,1.5
2024-10-30,Sarah Harris,3.6
2024-04-24,Mike White,3.7
2024-01-24,Chris White,18.7
2024-07-01,Robert Thompson,9.1
2023-07-16,Donna Torres,8.8
2023-11-08,David Robinson,18.5
2024-08-13,James Hill,2.8
2023-07-15,Emily Martinez,5.3
2024-08-28,Michelle Hernandez,5.4
2023-11-04,Matthew Hill,12.0
2023-08-20,Matthew Young,1.0
2023-05-31,Linda Lopez,4.2
2024-11-17,Brian Perez,2.2
2024-06-27,Amanda Robinson,7.8
2023-08-09,Emily Jones,11.7
2024-06-05,Elizabeth Wright,7.2
2023-03-06,Lisa Walker,18.1
2023-08-28,Michelle Hernandez,5.4
2023-06-17,Ashley Miller,0.6
2023-07-11,Matthew Rodriguez,2.2
2023-03-06,Betty Martin,3.3
2024-11-16,Karen Smith,4.2
2023-04-03,Mike Sanchez,1.5
2023-06-26,David Hill,13.2
2024-06-04,Christopher Wilson,5.1
2024-10-08,Michelle Gonzalez,6.0
2023-12-16,Daniel Young,12.2
2024-12-08,Michael King,5.5
2023-07-20,Sarah Wright,3.8
2024-12-11,Matthew Allen,10.4
2024-09-19,Joseph King,2.8
2023-06-28,Mike Sanchez,2.4
2023-05-19,Mark Rodriguez,2.2
2024-04-19,Laura Thomas,1.9
2024-12-27,Karen Smith,2.7
2024-05-20,Kimberly Robinson,3.1
2024-12-31,Christopher Thomas,10.8
2024-09-24,Jane Jones,7.1
2023-07-18,Jessica Wright,19.8
2023-11-02,Betty Martin,3.9
2023-01-27,Robert Ramirez,6.4
2024-02-29,Chris Hernandez,3.4
2024-07-19,Amy Brown,9.9
2023-11-07,Mike Sanchez,2.6
2023-04-05,Elizabeth Taylor,0.6
2024-06-29,Amanda Allen,5.2
2023-09-20,Laura Brown,3.9
2023-11-15,Chris Hernandez,2.9
2023-09-16,Linda Jones,7.4
2023-06-05,Donna Young,8.5
2023-10-03,Chris Ramirez,2.8
2024-04-21,Jessica Thomas,6.4
2023-08-03,Michael Robinson,10.4
2023-07-13,Thomas Wilson,2.9
2024-12-21,Jane Lewis,7.0
2023-07-03,Lisa Martinez,5.0
2023-04-29,Stephanie Scott,7.6
2024-06-29,John Johnson,8.4
2024-06-15,Jennifer Garcia,4.4
2024-07-10,Michael Allen,0.6
2023-09-05,Thomas Rodriguez,5.9
2023-01-28,Robert Thompson,7.5
2024-03-12,David Hill,16.7
2023-12-20,Mark Anderson,3.9
2024-05-04,Elizabeth Nguyen,2.9
2023-12-16,Nancy Harris,2.3
2024-03-07,Karen Davis,8.0
2024-05-17,Ashley Ramirez,0.6
2024-04-12,Elizabeth Martin,4.1
2024-09-26,William Taylor,11.9
2024-05-14,Robert Young,4.4
2024-06-16,Chris White,12.8
2024-12-14,Linda Lopez,2.6
2024-04-18,Elizabeth Thompson,3.0
2024-10-03,James Hill,2.0
2024-09-02,Amy King,6.3
2024-06-07,Karen Torres,3.5
2024-02-07,Joshua Harris,12.8
2024-06-12,Karen Young,7.9
2024-09-11,John Johnson,11.6
2024-04-14,John Moore,4.9
2023-08-25,Mark Moore,0.9
2024-11-04,Kevin Wilson,10.4
2023-01-12,Laura Robinson,4.9
2024-06-11,Chris Ramirez,3.8
2024-10-23,Elizabeth Nguyen,1.4
2024-05-08,Daniel Young,9.9
2024-06-11,Chris Williams,2.4
2023-09-06,Lisa Wilson,5.4
2024-08-29,William Smith,1.6
2023-05-16,Amanda Hill,1.0
2023-03-28,Sarah Harris,3.3
2023-04-23,Jane Young,1.8
2023-07-13,Chris Gonzalez,14.7
2023-07-29,Brian Hill,11.1
2024-02-09,Nancy Harris,1.0
2023-10-11,Nancy Ramirez,12.3
2023-03-17,Jennifer Robinson,2.4
2024-08-08,Joshua Taylor,8.0
2024-11-17,Michelle Hernandez,5.5
2023-10-19,Joseph Hernandez,2.9
2024-08-25,Betty Miller,10.1
2024-06-17,Michael Smith,3.2
2024-12-13,Emily Perez,8.0
2023-12-03,Elizabeth Gonzalez,5.8
2023-11-20,Joseph Lopez,10.4
2023-10-05,Thomas Robinson,11.3
2024-05-12,Chris Ramirez,3.8
2023-10-16,Elizabeth Martin,2.7
2024-12-07,Robert Ramirez,7.1
2023-05-06,Sarah King,2.0
2024-07-14,Donna Torres,10.3
2024-08-01,Maria Jackson,1.1
2023-10-20,Ashley Miller,2.8
2023-10-30,Robert White,4.0
2024-10-03,Betty Robinson,8.1
2024-07-25,Michael Jones,4.1
2024-11-24,Mike Thomas,7.8
2023-10-26,Linda Rodriguez,9.3
2023-08-13,Joseph White,9.0
2024-01-20,Amy Brown,9.9
2023-10-19,Chris Ramirez,4.1
2023-04-11,Laura Brown,1.7
2023-06-17,John Moore,3.0
2024-07-24,Ashley Garcia,7.6
2024-07-28,Linda Rodriguez,10.0
2024-05-26,Richard Ramirez,3.1
2024-04-09,Paul Taylor,14.9
2023-04-01,Karen Young,5.4
2023-11-14,Stephanie Thompson,2.4
2023-01-19,Betty Allen,0.6
2023-09-12,Ashley Garcia,6.4
2023-10-03,Michael Thomas,14.4
2024-02-27,David Smith,6.3
2023-02-09,Lisa Martinez,6.0
2024-06-06,Christopher Perez,8.5
2024-08-05,Michael Smith,6.2
2024-08-04,Matthew Allen,17.3
2023-10-31,Christopher Lopez,2.8
2023-03-11,Elizabeth Nguyen,0.5
2024-10-17,Laura Young,0.6
2024-11-19,Christopher Wilson,11.5
2023-03-13,Laura Sanchez,3.0
2023-08-25,Robert Young,3.2
2023-05-16,Joshua Harris,19.9
2023-08-22,Daniel Davis,7.1
2023-06-29,Chris Hernandez,1.7
2024-01-24,Karen Davis,15.4
2024-07-07,Robert Thompson,6.7
2024-02-02,Paul Lopez,6.8
2023-10-25,Chris Thompson,12.9
2023-09-07,Sarah Wright,4.9
2024-05-02,Sarah King,1.0
2023-05-28,Mark Anderson,4.2
2023-11-06,Chris Gonzalez,10.9
2023-06-23,Sarah King,0.9
2024-06-04,Donna White,4.8
2024-07-23,Donna Young,10.5
2024-01-27,John Smith,6.7
2024-04-12,Jane Young,4.8
2023-08-10,Mike Thomas,6.3
2024-09-04,Jessica Wright,15.5
2024-07-17,Karen Flores,0.6
2024-11-19,Joseph Williams,3.8
2024-09-29,Laura Clark,11.3
2024-06-16,Thomas Rodriguez,7.4
2024-09-15,Ashley Miller,1.4
2024-09-17,Joshua Taylor,6.5
2023-03-20,Christopher Hill,13.7
2023-01-08,Robert White,6.4
2024-12-19,Michelle Hernandez,7.1
2023-10-08,Maria Williams,7.7
2024-07-13,Betty Robinson,9.9
2024-05-03,Emily Perez,9.9
2023-11-01,Maria Walker,3.2
2024-02-25,Chris Williams,1.8
2024-01-25,Michelle Ramirez,3.4
2023-07-23,Stephanie Scott,3.6
2023-08-13,Thomas Rodriguez,5.1
2023-09-04,Mike Thomas,5.4
2023-06-25,Mark Rodriguez,1.9
2023-05-05,Paul Taylor,17.2
2024-12-16,Christopher Perez,8.3
2023-01-13,Jessica Taylor,4.6
2023-01-12,Elizabeth Thompson,1.1
2024-10-10,Chris Gonzalez,10.3
2024-10-25,Mark Moore,0.6
2024-03-14,Mike White,7.1
2024-03-26,Laura Lewis,4.2
2023-05-08,James Lopez,17.8
2024-09-12,Christopher Perez,11.4
2024-12-20,Stephanie Thompson,3.1
2023-03-24,Ashley Ramirez,1.8
2024-03-04,Jane Jones,10.2
2024-09-21,Joseph Williams,4.7
2023-12-06,Elizabeth Thompson,2.7
2024-04-19,Brian Gonzalez,6.7
2023-01-05,Ashley Walker,10.7
2024-08-14,Mark Torres,8.3
2023-03-25,Nancy Ramirez,9.2
2023-02-17,Robert Jones,16.1
2023-10-19,Chris Flores,9.8
2024-02-15,Thomas Robinson,10.3
2023-08-07,Mike King,1.9
2023-06-11,Christopher Lopez,4.3
2024-09-10,Daniel Davis,5.4
2023-07-22,Joseph White,10.4
2024-07-12,Sarah Wright,5.0
2023-06-20,Laura Robinson,3.1
2023-10-07,Laura Brown,3.6
2023-12-09,John Lee,6.1
2023-06-17,Thomas Wilson,2.0
2024-01-21,Mark Torres,11.4
2023-08-13,Daniel Young,19.5
2024-11-21,Karen Davis,11.7
2024-05-05,Maria Sanchez,5.0
2023-07-19,Kevin Wilson,11.8
2024-08-28,Christopher Jones,3.4
2024-04-15,Amanda Robinson,6.2
2023-08-11,Jane Jones,11.2
2024-10-26,Ashley Miller,1.1
2023-05-10,Lisa Martinez,4.2
2023-09-26,Chris Flores,19.1
2024-06-29,Jessica Wright,17.6
2024-04-13,Brian Gonzalez,6.4
2023-09-12,Betty Smith,1.9
2024-04-25,Ashley Ramirez,2.3
2024-11-14,William Lopez,11.5
2024-06-15,Mark Walker,14.4
2023-09-03,Karen Moore,2.5
2024-01-15,Mike Wright,4.4
2023-07-02,William Lewis,3.8
2024-05-17,Mark Rodriguez,2.8
2024-05-05,John Allen,4.7
2023-12-27,Laura Robinson,4.1
2023-03-15,Richard Wright,14.0
2024-02-19,Thomas Hill,5.4
2024-12-17,Kevin Taylor,13.4
2023-03-21,Kevin Wilson,7.2
2023-10-21,Karen Torres,4.1
2024-10-21,Donna Torres,6.4
2024-08-21,Kevin Taylor,15.7
2024-07-07,Karen Young,6.3
2024-08-12,Thomas Scott,1.1
2024-07-03,Nancy Wilson,7.7
2023-11-11,Joshua Nguyen,9.4
2023-09-06,Richard Ramirez,2.5
2024-07-05,John Allen,7.9
2023-03-11,Jane Jones,7.5
2024-07-21,Donna Young,7.7
2024-04-04,Mark Anderson,7.0
2024-06-06,Betty Martin,4.0
2023-03-20,Karen Davis,16.7
2024-03-11,Mark Walker,13.5
2023-01-17,Karen Flores,1.4
2023-02-09,Amanda Allen,9.5
2024-09-05,Mark Scott,3.3
2023-02-23,Ashley Walker,11.8
2023-12-29,Christopher Lee,3.6
2023-02-23,Stephanie Hill,12.0
2023-12-01,Michelle Gonzalez,3.3
2024-02-12,Kimberly Miller,3.7
2023-10-15,Lisa Walker,18.2
2023-03-12,Lisa Walker,11.5
2023-04-26,David Thomas,12.5
2024-11-15,Donna White,1.9
2023-01-21,Amanda Scott,5.0
2023-01-25,Matthew Hill,11.8
2024-02-05,Kevin White,12.5
2023-04-06,Kimberly Miller,3.3
2024-01-13,Matthew Robinson,6.1
2023-10-10,Christopher Lopez,2.2
2024-08-30,Kimberly White,7.1
2024-04-10,John Allen,6.1
2024-08-10,Richard Wright,16.7
2024-11-12,Jessica Wright,19.1
2023-04-06,Elizabeth Sanchez,16.2
2024-05-22,Karen Flores,1.3
2024-03-13,Richard Wright,14.9
2024-11-20,David Johnson,8.2
2024-04-10,Thomas Wilson,0.6
2024-11-03,Laura Robinson,1.8
2024-12-24,Mike White,5.7
2023-01-02,Elizabeth Thomas,6.5
2023-05-14,John Lee,11.7
2024-04-24,Mike Wright,6.4
2023-07-31,Mark Scott,4.7
2024-07-23,William Taylor,10.5
2023-07-08,Donna Young,11.1
2024-08-04,Mark Walker,13.0
2024-05-05,Joseph Gonzalez,14.3
2024-10-02,Karen Sanchez,19.9
2023-10-13,Karen Flores,1.5
2024-12-31,Elizabeth Thompson,1.6
2024-07-15,James Nguyen,13.2
2023-05-11,Karen Flores,1.1
2023-01-14,Richard Ramirez,3.0
2024-12-03,Michael Martinez,8.3
2024-06-22,Mike Thomas,4.6
2023-07-29,William Smith,0.7
2023-07-06,Paul Lopez,6.2
2024-05-08,Ashley Garcia,10.5
2024-09-09,Daniel Young,12.6
2023-12-06,Laura Clark,8.6
2023-02-26,Richard Smith,5.0
2024-08-18,Karen Young,3.0
2024-03-08,Chris Gonzalez,16.4
2024-01-28,Richard Brown,7.6
2023-12-30,Mike Thomas,7.2
2024-09-11,Karen Flores,2.0
2024-12-21,Laura Sanchez,1.8
2023-02-25,Kevin White,16.1
2024-07-13,Laura Lewis,5.1
2024-12-30,Paul Taylor,18.3
2023-12-11,David Smith,3.6
2024-06-17,Ashley Ramirez,2.6
2024-12-04,Maria Williams,6.8
2023-03-03,Betty Allen,2.5
2024-06-22,Paul Smith,10.8
2023-03-29,William Sanchez,5.9
2024-09-25,Christopher Hill,9.4
2023-09-26,Maria Williams,3.8
2024-12-28,Nancy Ramirez,17.8
2023-01-30,Michael Martinez,5.5
2024-10-24,Karen Flores,0.6
2023-04-24,Sarah Sanchez,10.7
2024-10-11,Laura Brown,5.0
2023-11-13,David Johnson,10.4
2023-12-22,William Smith,2.2
2024-06-14,Lisa Martinez,4.4
2023-03-05,Kevin Wilson,9.6
2023-05-05,Donna White,2.8
2023-10-01,Matthew Robinson,10.7
2024-02-14,Joseph Hernandez,1.6
2023-11-27,Robert Jones,14.3
2023-04-22,Karen Davis,12.6
2023-12-05,Joshua Taylor,7.9
2024-12-30,Robert Ramirez,4.7
2024-10-25,Linda Jones,10.5
2023-12-14,Karen Sanchez,11.4
2023-11-28,Stephanie Thompson,3.3
2024-02-25,David Robinson,15.3
2023-10-27,Mike King,2.1
2024-12-17,John Lee,10.7
2024-08-26,Matthew Young,1.6
2024-02-28,Matthew Rodriguez,1.8
2024-08-09,Michael Martinez,8.3
2024-12-04,Christopher Jones,4.7
2024-12-02,Joshua Harris,8.0
2024-09-24,Maria Sanchez,6.4
2023-04-11,Joshua Harris,11.1
2023-07-19,Kimberly White,3.1
2024-10-24,William Wilson,2.2
2024-02-11,Christopher Lee,5.2
2024-12-17,Mark Scott,1.7
2023-01-10,Karen Smith,4.0
2023-04-11,Michael Taylor,3.2
2024-12-13,Christopher Lopez,4.2
2024-03-09,Elizabeth Young,5.0
2023-09-27,Laura Brown,4.3
2023-08-05,Laura Brown,2.0
2023-07-22,William Sanchez,5.0
2024-02-19,Mark Anderson,5.1
2023-07-12,Kimberly White,5.5
2023-01-15,Joshua Taylor,8.3
2023-08-05,Stephanie Hill,13.5
2023-10-28,Linda Rodriguez,10.4
2024-10-14,Mike Thomas,4.4
2024-09-20,Jane Young,2.5
2023-12-04,John Nguyen,12.7
2024-06-09,Chris Williams,2.2
2024-06-21,David Smith,6.9
2023-09-10,Michael King,11.9
2023-01-20,Betty Allen,2.3
2023-02-07,Elizabeth Thomas,3.1
2023-08-21,Sarah Harris,4.8
2023-02-16,Elizabeth Nguyen,1.5
2023-05-08,Thomas Rodriguez,4.5
2024-12-12,David Smith,4.7
2024-11-01,Michael Allen,1.0
2023-12-04,Thomas Robinson,6.7
2023-10-12,Matthew Hill,6.5
2024-05-23,Richard Smith,4.2
2023-05-03,Joshua Harris,19.9
2024-12-06,David Johnson,7.3
2024-11-13,Kimberly Miller,2.6
2024-03-13,Joshua Nguyen,11.8
2023-02-09,Betty Robinson,9.2
2023-12-29,Betty Martin,3.3
2024-12-22,Sarah Jackson,4.9
2023-01-19,Karen Davis,9.7
2023-09-06,Mark Scott,3.1
2023-07-20,Nancy Ramirez,13.2
2023-05-10,Laura Lewis,5.3
2024-06-26,Nancy Wilson,6.3
2024-08-06,Mark Jones,6.7
2023-08-13,Donna White,2.8
2024-04-15,Elizabeth Sanchez,10.8
2024-06-07,John Johnson,5.0
2024-02-15,Ashley Garcia,9.8
2024-05-14,Christopher Lopez,2.3
2024-01-22,Sarah Jackson,7.7
2024-02-14,Joshua Wilson,4.7
2024-04-03,Mark Rodriguez,2.0
2023-01-31,William Lewis,3.5
2023-09-06,Karen Torres,7.5
2024-12-13,David Smith,3.7
2024-01-09,Christopher Lee,6.0
2024-07-31,Sarah Harris,5.4
2023-09-29,Michelle Gonzalez,6.5
2024-02-29,Mark Martinez,3.8
2023-06-14,Mike Sanchez,0.6
2024-12-17,Christopher Thomas,6.9
2024-12-10,Mike Williams,6.8
2023-09-12,Paul Lopez,4.9
2024-12-24,Richard Smith,4.2
2023-07-05,Emily Martinez,6.7
2024-12-21,Robert Thompson,9.2
2023-08-21,Jane Jones,5.4
2024-11-22,Lisa Jones,8.6
2024-09-02,Michelle Ramirez,4.5
2024-03-02,Emily Jones,10.2
2023-01-16,David Robinson,15.3
2023-06-09,Maria Sanchez,8.3
2023-10-12,Mike Young,11.5
2024-07-14,James Lopez,19.1
2023-10-17,Lisa Walker,16.2
2024-05-02,Elizabeth Taylor,1.9
2023-06-14,Mike Williams,5.7
2024-08-10,Joseph Lopez,12.3
2024-04-16,Chris Williams,1.1
2024-06-20,William Taylor,9.5
2023-01-13,Amanda Hill,2.4
2024-07-03,John Moore,4.9
2024-07-06,Laura Young,1.7
2023-08-04,Elizabeth Thompson,2.5
2024-07-25,John Lee,9.0
2023-06-16,Stephanie Thompson,3.4
2023-03-29,Mark Anderson,5.7
2023-09-11,Mark Scott,2.3
2023-09-12,Mark Torres,20.0
2024-02-17,Joshua Taylor,7.2
2023-12-29,Ashley Davis,11.4
2024-04-26,Michael Martinez,5.6
2024-09-09,Lisa Wilson,7.3
2024-09-28,John Johnson,5.7
2024-12-28,Jane Lewis,5.8
2023-04-16,William Wilson,2.5
2024-08-16,Joseph Hernandez,3.0
2024-11-10,Mike Sanchez,2.4
2024-07-05,Joshua Taylor,6.5
2024-05-04,Joshua Wilson,5.1
2024-07-11,William Sanchez,9.0
2023-11-25,Kimberly Miller,3.5
2023-06-29,Karen Torres,6.0
2024-08-02,Matthew Wright,12.0
2023-12-14,Michael Allen,2.5
2023-01-26,William Lopez,19.3
2024-05-05,Nancy Harris,1.3
2023-09-09,Kevin Wilson,11.0
2023-11-28,Maria Walker,3.8
2023-06-26,Donna White,4.4
2023-09-04,Amanda Scott,9.7
2023-05-23,Richard Ramirez,1.7
2024-06-05,William Wright,4.4
2024-02-02,Joseph Williams,1.5
2024-06-14,Christopher Perez,5.3
2024-04-30,John Lee,9.5
2024-02-27,John Smith,5.1
2023-10-21,Richard Brown,9.3
2023-10-30,Mark Scott,1.5
2023-10-23,Kevin Wilson,8.6
2024-07-15,James Hill,2.4
2023-07-24,Amanda Robinson,4.7
2023-11-30,James Hill,2.3
2024-03-05,Richard Wright,13.4
2024-01-23,Thomas Scott,2.6
2024-09-08,Joseph King,2.4
2023-01-25,Jessica Wright,15.1
2023-11-25,Sarah Jackson,5.6
2023-07-26,Amanda Allen,10.5
2024-09-10,Brian Gonzalez,11.6
